geographic_entity,state,constituency,matched_pc_id,matched_pc_name,mapping_status,coordinate_type,geo_source,validation_status,reason
"ARARIA, Bihar",Bihar,ARARIA,1009,Araria,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"FARIDKOT(SC), Punjab",Punjab,FARIDKOT(SC),309,Faridkot,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KOLLAM, Kerala",Kerala,KOLLAM,3218,Kollam,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JANJGIR CHAMPA(SC), Chhattisgarh",Chhattisgarh,JANJGIR CHAMPA(SC),2203,Janjgir,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DHARWAD, Karnataka",Karnataka,DHARWAD,2911,Dharwad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"NAGPUR, Maharashtra",Maharashtra,NAGPUR,2710,Nagpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SHAHJAHANPUR(SC), Uttar Pradesh",Uttar Pradesh,SHAHJAHANPUR(SC),927,Shahjahanpur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MAVELIKKARA(SC), Kerala",Kerala,MAVELIKKARA(SC),3216,Mavelikara,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAVER, Maharashtra",Maharashtra,RAVER,2704,Raver,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"MANDI, Himachal Pradesh",Himachal Pradesh,MANDI,202,Mandi,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
